[2021-10-01 23:05:05.565] [sharedprocess] [info] [logs cleanup]: Starting to clean up old logs.
[2021-10-01 23:05:05.566] [sharedprocess] [info] [logs cleanup]: Removing log folders '20211001T224202'
[2021-10-01 23:05:25.565] [sharedprocess] [info] [code cache cleanup]: Starting to clean up old code cache folders.
[2021-10-01 23:05:25.565] [sharedprocess] [info] [storage cleanup]: Starting to clean up storage folders.
[2021-10-01 23:05:25.568] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116656612.
[2021-10-01 23:05:25.568] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116728875.
[2021-10-01 23:05:25.568] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116741798.
[2021-10-01 23:05:25.569] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116746693.
[2021-10-01 23:05:25.569] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116752463.
[2021-10-01 23:05:25.569] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116760317.
[2021-10-01 23:05:25.569] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116771716.
[2021-10-01 23:05:25.570] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116788812.
[2021-10-01 23:05:25.570] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116796304.
[2021-10-01 23:05:25.570] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116877104.
[2021-10-01 23:05:25.570] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116884528.
[2021-10-01 23:05:25.570] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116896159.
[2021-10-01 23:05:25.571] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116910138.
[2021-10-01 23:05:25.571] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633116926141.
[2021-10-01 23:05:25.571] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633117083363.
[2021-10-01 23:05:25.571] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633117141156.
[2021-10-01 23:05:25.572] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633117151921.
[2021-10-01 23:05:25.572] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633117275279.
[2021-10-01 23:05:25.572] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633117322750.
[2021-10-01 23:05:25.573] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633117953990.
[2021-10-01 23:05:25.573] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633117983839.
[2021-10-01 23:05:25.573] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633118217001.
[2021-10-01 23:05:25.573] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633118256800.
[2021-10-01 23:05:25.574] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633118280721.
[2021-10-01 23:05:25.575] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633118299800.
[2021-10-01 23:05:25.575] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633118400919.
[2021-10-01 23:05:25.575] [sharedprocess] [info] [storage cleanup]: Deleting storage folder 1633118415244.
